<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MICEX10INDEX;D;20090512;000000;2051.9700000;2186.5400000;2041.9600000;2172.2700000;67961986088
RI.MICEX10INDEX;D;20090513;000000;2208.9400000;2275.4500000;2028.9500000;2056.3700000;70286273742
RI.MICEX10INDEX;D;20090514;000000;2052.2400000;2053.3200000;1979.6200000;2051.4500000;48984019621
RI.MICEX10INDEX;D;20090515;000000;2090.8700000;2107.5100000;2013.9900000;2066.4100000;46205931263
RI.MICEX10INDEX;D;20090518;000000;2049.5800000;2099.1500000;1989.3500000;2097.1300000;45496117290
RI.MICEX10INDEX;D;20090519;000000;2127.9700000;2169.1600000;2103.9000000;2154.4100000;68710858090
RI.MICEX10INDEX;D;20090520;000000;2159.7900000;2262.7000000;2133.6000000;2262.4400000;79625062304
RI.MICEX10INDEX;D;20090521;000000;2247.3800000;2269.0900000;2138.0600000;2146.4100000;69549836659
RI.MICEX10INDEX;D;20090522;000000;2153.4000000;2245.0400000;2153.4000000;2225.8700000;57383568755
RI.MICEX10INDEX;D;20090525;000000;2235.6600000;2262.6000000;2198.0200000;2248.0200000;38347852665
RI.MICEX10INDEX;D;20090526;000000;2250.0300000;2250.0300000;2135.1700000;2206.8600000;52659183610
RI.MICEX10INDEX;D;20090527;000000;2231.4400000;2275.1900000;2231.4400000;2242.3100000;57030883865
RI.MICEX10INDEX;D;20090528;000000;2227.6800000;2298.7000000;2203.6600000;2269.5300000;50097567851
RI.MICEX10INDEX;D;20090529;000000;2307.4400000;2365.9300000;2307.4400000;2360.7000000;57925243092
RI.MICEX10INDEX;D;20090601;000000;2413.5400000;2559.8000000;2413.5400000;2558.9100000;80530412343
RI.MICEX10INDEX;D;20090602;000000;2571.8200000;2676.9300000;2471.3300000;2602.5200000;119388297072
RI.MICEX10INDEX;D;20090603;000000;2621.4400000;2656.1300000;2356.0400000;2371.7700000;80869183170
RI.MICEX10INDEX;D;20090604;000000;2367.6200000;2499.7500000;2308.1600000;2413.4400000;90874272024
